stop_ref,stop_name,longitude,latitude
1590000301,Purfleet-on-Thames Station,0.238464,51.480295
1590000401,Purfleet-on-Thames Station,0.237791,51.480463
1590000201,War Memorial,0.231606,51.482686
1590000101,War Memorial,0.231631,51.482901
1590002101,Garrison Estate,0.231972,51.486042
15907075102,Garrison Estate,0.23152,51.485
1590002001,Marlow Avenue,0.233611,51.48747
1590002201,Marlow Avenue,0.233437,51.48715
1590002401,"Purfleet Road, Ocado",0.235956,51.496545
1590705233,"Purfleet Road, Ocado",0.238084,51.497168
1590002601,Purfleet Road,0.243329,51.498212
1590004301,Field Rd,0.250482,51.499223
1590004401,Field Rd,0.250982,51.499132
1590004601,Hanford Road,0.251507,51.500726
1590004501,Hanford Road,0.251287,51.500937
1590004801,St Pauls Close,0.248546,51.503517
1590004701,St Pauls Close,0.247882,51.503484
1590004901,Shannon Way,0.247874,51.505661
1590005001,Shannon Way,0.24859,51.506457
1590005101,Teviot Avenue,0.253365,51.507417
1590047101,Usk Road,0.250404,51.509623
1590004101,High Street,0.253426,51.499322
1590004201,High Street,0.254704,51.498938
15907075122,Park Lane,0.258522,51.498936
15907075123,Park Lane,0.258469,51.498739
1590004001,Stanford Gardens,0.26225,51.499445
1590003901,Stanford Gardens,0.26188,51.499533
1590005301,Stifford Road,0.273182,51.502241
1590005201,Stifford Road,0.272939,51.501994
1590005401,Garron Lane,0.276513,51.504029
1590005501,Garron Lane,0.276316,51.504402
1590005701,Gatehope Drive,0.276204,51.50765
1590005601,Gatehope Drive,0.276376,51.50735
1590005801,Easington Way,0.276184,51.509845
1590005901,Easington Way,0.27589,51.511191
1590006101,Elmdon Road,0.279089,51.5129
1590006001,Elmdon Road,0.277105,51.512426
1590007401,Elan Road,0.282151,51.513317
1590007301,Erriff Drive,0.284019,51.512921
1590007001,Darenth Lane,0.283914,51.508804
1590007201,Derwent Parade,0.283724,51.510472
1590006901,Fairham Avenue,0.28206,51.506017
1590006801,Fairham Avenue,0.282217,51.505987
1590006701,Fortin Way,0.281029,51.503267
1590006601,Daiglen Drive,0.282585,51.502679
1590008401,Cander Way,0.286005,51.502495
1590008301,Cander Way,0.288071,51.502599
1590008601,Ford Place,0.293915,51.502188
1590008501,Cullen Square,0.292501,51.502432
1590045901,Davy Down,0.295867,51.499164
1590045801,Davy Down,0.295643,51.499303
159007075118,Caravan Park,0.295551,51.49488
15907075117,Caravan Park,0.295828,51.494947
1590701401,Pilgrims Roundabout,0.292845,51.492352
1590701301,Pilgrims Roundabout,0.294012,51.492365
1590060102,"Lakeside Bus Station, B",0.283331,51.490218
1590060107,"Lakeside Bus Station, G",0.283293,51.490326
1590060109,"Lakeside Bus Station,  J",0.282699,51.490266
1590705225,Lakeside Tesco,0.273766,51.487945
1590012401,Tesco,0.273749,51.48782
1590705218,Lakeside Retail Park,0.277431,51.485752
1590705217,Lakeside Retail Park,0.277145,51.485802
1590048201,Costco Roundabout,0.278957,51.484292
1590705228,Costco Roundabout,0.277663,51.484167
1590013101,Heron Way,0.283227,51.480642
1590013201,Heron Way,0.28306,51.482219
1590013001,Motherwell Way Screwfix,0.279195,51.480082
1590012901,Motherwell Way Screwfix,0.278705,51.479803
1590012701,Eastern Avenue,0.274715,51.478055
1590012801,Eastern Avenue,0.274368,51.478611
159007075130,Motherwell Way,0.274912,51.476217
159007075129,First Avenue,0.275377,51.475731
1590013701,The Rookery,0.280498,51.475892
1590013801,Elm Terrace,0.283116,51.47612
1590013601,The Rookery,0.279298,51.475808
1590014601,The Ship,0.290697,51.47653
1590014501,The Ship,0.290445,51.476391
1590014701,Magnet Road,0.294546,51.476886
1590015001,Mill Lane,0.298829,51.477567
1590014801,The Shant,0.296688,51.477087
1590015201,Moore Avenue,0.302473,51.477855
