situation_number,creation_time,participant_ref,progress,reason,planned,summary,description,validity_start,validity_end,severity,condition,advice,vehicle_mode,affected_operators,affected_lines,affected_stops,affected_places,validity_start_dt,validity_end_dt,disruption_date
18224249-29cf-4f65-a023-11067e7c2b6f,2024-08-30T09:07:04.813Z,WestofEngland,open,roadworks,true,Live Traffic Update: York Road One Way Closure,Long term works - York Road is closed eastbound between Bath Bridge Roundabout and Whitehouse St. Please follow diversion signs and allow extra time for journeys.,2024-09-01T08:00:00.000Z,,normal,unknown,"York Road closed between St Luke's Road to the Petrol Station, heading towards Bath Bridge Roundabout. York Road is closed in both direction due to road works. Please follow diversion signs and allow extra time for journeys.",bus,,,,Bristol,2024-09-01 08:00:00+00:00,,2024-09-01
2b9e1d8f-b0ee-43a7-8ca5-7334d6fc4587,2024-11-01T15:42:15.905Z,WYCA,open,roadworks,true,"Horsforth Vale, Bletchley Avenue, Bletchley Road and Low Hall Road (Leeds)","Bletchley Avenue, Bletchley Road and Low Hall Road are closed due to roadworks from Monday 4 November until further notice.",2024-11-04T08:30:00.000Z,,slight,unknown,"Service 9 at 0838, 1553, 1658 & 1733 towards White Rose will not serve Horsforth Vale due to ongoing works on the Ring Road at Horsforth Roundabout.",bus,YSQU:Squarepeg,9:9,450032047:Bletchley Avenue | 450032046:Bletchley Road | 450029336:Horsforth Vale Calverley Lane | 450032048:Low Hall Road,,2024-11-04 08:30:00+00:00,,2024-11-04
75e92a90-d4f1-4124-9cf4-633abacf8b81,2025-01-10T11:54:42.620Z,WYCA,open,roadClosed,true,"King Cross, King Cross Road (Calderdale)",Due to new road layout on King Cross Road services towards Halifax are diverting until further notice.,2025-01-10T11:50:00.000Z,,slight,unknown,"First services 579, 586, 590, 591 & 592 are not currently stopping at 45023283 King Cross bus stop due to safety concerns of the new road layout. 

Services towards Halifax are diverting via Aachen Way & Queens Road to resume route at King Cross Road.",bus,FHUD:FIRST WEST YORKSHIRE LTD | FHUD:FIRST WEST YORKSHIRE LTD | TPEN:Team Pennine | FHUD:FIRST WEST YORKSHIRE LTD | FHUD:FIRST WEST YORKSHIRE LTD | FHUD:FIRST WEST YORKSHIRE LTD,579:579 | 586:586 | 587:587 | 590:590 | 591:591 | 592:592,450023283:King Cross,,2025-01-10 11:50:00+00:00,,2025-01-10
ba174836-2698-4f06-8f22-e6c90aca9a7d,2025-03-06T09:16:59Z,WestofEngland,open,roadworks,false,Tower Road/Station Road,"Due to Temporary Lights on the Junction of Tower Road North and Station Road service 43 to Warmley only will for the time being divert via A4174, take the left lane to Wraxall Road, then Tower Lane and Tower Road North to Station Road missing Baden Road Stop only.",2025-03-06T09:16:00.000Z,,normal,unknown,"Due to Temporary Lights on the Junction of Tower Road North and Station Road service 43 to Warmley only will for the time being divert via A4174, take the left lane to Wraxall Road, then Tower Lane and Tower Road North to Station Road missing Baden Road Stop only.",bus,FBRI:First Bristol Limited,43:43,0170SGB20128:Baden Road,,2025-03-06 09:16:00+00:00,,2025-03-06
8e8d2259-4d28-490b-9785-c08b0fd034bd,2025-03-28T11:17:43Z,WestofEngland,open,roadworks,true,"Road Closure: Victoria Street, Bristol","Victoria Street in Bristol City Centre, northbound from Temple Meads towards Bristol Bridge, will be closed for roadworks from 31 March 2025.",2025-03-30T23:01:00.000Z,,normal,unknown,Temple Meads T7 will not be served during this closure,bus,FBRI:First Bristol Limited | FBRI:First Bristol Limited | FBRI:First Bristol Limited | FBRI:First Bristol Limited | FBRI:First Bristol Limited | FBRI:First Bristol Limited | FBRI:First Bristol Limited | FBRI:First Bristol Limited | FBRI:First Bristol Limited | FBRI:First Bristol Limited | FBRI:First Bristol Limited | FBRI:First Bristol Limited | LEMB:The Big Lemon | FBRI:First Bristol Limited,1:1 | 2:2 | 2a:2a | 39:39 | 72:72 | 172:172 | 349:349 | 374:374 | 375:375 | 376:376 | 376a:376a | 522:522 | P1:P1 | X39:X39,0100BRP90311:Temple Meads Stn,,2025-03-30 23:01:00+00:00,,2025-03-30
8e8d2259-4d28-490b-9785-c08b0fd034bd,2025-03-28T11:17:43Z,WestofEngland,open,roadworks,true,"Road Closure: Victoria Street, Bristol","Victoria Street in Bristol City Centre, northbound from Temple Meads towards Bristol Bridge, will be closed for roadworks from 31 March 2025.",2025-03-30T23:01:00.000Z,,normal,unknown,"Victoria Street in Bristol City Centre, northbound from Temple Meads towards Bristol Bridge, will be closed for roadworks from 31 March 2025.",bus,SCGL:Stagecoach,71:71,0100BRP90311:Temple Meads Stn,,2025-03-30 23:01:00+00:00,,2025-03-30
da0d2e77-edc7-4b4c-8e54-2552c5bdd5ee,2025-03-08T16:22:38Z,TfGM,open,roadClosed,true,"Greek Street, Stockport - Railway Bridge Replacement ","From 31 March 2025 until Spring 2026, Network Rail will be carrying out work to install a new railway bridge and roundabout. For the duration of the works, bus services are on diversion.",2025-03-30T22:30:00.000Z,2026-03-31T22:59:00.000Z,verySevere,unknown,See website for more information.,bus,BNSM:Bee Network | BNDB:Bee Network | BNDB:Bee Network | BNSM:Bee Network | BNML:Bee Network | BNML:Bee Network | BNSM:Bee Network | BNML:Bee Network | BNDB:Bee Network | BNML:Bee Network | BNML:Bee Network | BNML:Bee Network | BNML:Bee Network | BNML:Bee Network,11:11 | 309:309 | 310:310 | 312:312 | 313:313 | 368:368 | 374:374 | 374:374 | 813:813 | 852:852 | 852:852 | 863:863 | 874:874 | 877:877,,,2025-03-30 22:30:00+00:00,2026-03-31 22:59:00+00:00,2025-03-30
526571b9-9ead-4d5a-a7f0-511c879be31e,2025-03-31T11:39:08Z,WestofEngland,open,repairWork,true,Stop closure: The Assembly Rooms,This stop will be closed for approximately 20 months due to refurbishment works on the Assembly Rooms.,2025-04-06T23:00:00.000Z,2026-11-01T23:59:00.000Z,normal,unknown,This stop will be closed for approximately 20 months due to refurbishment works on the Assembly Rooms.,bus,BBCL:Bath Bus Company,City_Tour:City_Tour,0180BAC30476:Assembly Rooms,,2025-04-06 23:00:00+00:00,2026-11-01 23:59:00+00:00,2025-04-06
31e19fef-b34f-4da4-b59e-fd9a3579a261,2025-05-30T13:28:30Z,WestofEngland,open,roadworks,true,Stop Closure: Brentry Lane,Brentry Lane N-bound stop will be suspended until further notice. Please use temporary stop outside number 189A Passage Road.,2025-05-30T13:27:00.000Z,,normal,unknown,Brentry Lane N-bound stop will be suspended until further notice. Please use temporary stop outside number 189A Passage Road.,bus,FBRI:First Bristol Limited,1:1,0100BRP91051:Brentry Lane,,2025-05-30 13:27:00+00:00,,2025-05-30
ab3e67f3-fd60-41e4-b1e2-54464fecfc8f,2025-06-06T09:45:03Z,SYMCA,open,roadworks,true,"Corporation Street, Rotherham Town Centre (Rotherham)","Ongoing Works by RMBC until further notice , Services subject to diversion",2025-06-08T23:00:00.000Z,,unknown,unknown,"Services 73, 95, 95s & X3 from Rotherham Interchange will divert via Bridge Street, Centenary Way, Main Street & Westgate.     

Services 136, 137, 138 from Rotherham Interchange towards Kimberworth to divert via Bridge Street College Road, Centenary Way to the U-Turn to resume route on Masbrough Street.",bus,FSYO:First South Yorkshire | FSYO:First South Yorkshire | FSYO:First South Yorkshire | SYRK:Stagecoach | SYRK:Stagecoach | SYRK:Stagecoach | FSYO:First South Yorkshire,73:73 | 95:95 | 95s:95s | 136:136 | 137:137 | 138:138 | X3:X3,370035761:Corporation Street/Market Street | 370010081:Rotherham Interchange/B4 | 370010081:Rotherham Interchange/B4 | 370010081:Rotherham Interchange/B4 | 370010084:Rotherham Interchange/B7 | 370010162:Rotherham Interchange/B8 | 370010162:Rotherham Interchange/B8,,2025-06-08 23:00:00+00:00,,2025-06-08
